filename,Mouth,Nasal,Skin,Stool
ID_YBNOYC.mgb,0,0,0,0
ID_HPVLUO.mgb,0,0,0,0
ID_DQGGYD.mgb,0,0,0,0
ID_XZBUJB.mgb,0,0,0,0
ID_KRPYRQ.mgb,0,0,0,0
ID_RCYKMF.mgb,0,0,0,0
ID_PDGUOD.mgb,0,0,0,0
ID_JMGROA.mgb,0,0,0,0
ID_UUMDMC.mgb,0,0,0,0
ID_ZCEXAD.mgb,0,0,0,0
ID_YXYPNE.mgb,0,0,0,0
ID_HTVJNB.mgb,0,0,0,0
ID_IKMAKG.mgb,0,0,0,0
ID_MPRONQ.mgb,0,0,0,0
ID_ZDXTOM.mgb,0,0,0,0
ID_CRIKEW.mgb,0,0,0,0
ID_PVDPOY.mgb,0,0,0,0
ID_VAYSCY.mgb,0,0,0,0
ID_UGKPXK.mgb,0,0,0,0
ID_QLOFSU.mgb,0,0,0,0
ID_CGQXZL.mgb,0,0,0,0
ID_PLDVLB.mgb,0,0,0,0
ID_DLHWNC.mgb,0,0,0,0
ID_JTSIEM.mgb,0,0,0,0
ID_GITYQY.mgb,0,0,0,0
ID_PPXPKV.mgb,0,0,0,0
ID_SMBIHP.mgb,0,0,0,0
ID_VAESYJ.mgb,0,0,0,0
ID_AWDNCQ.mgb,0,0,0,0
ID_FSVRAD.mgb,0,0,0,0
ID_PVTQFI.mgb,0,0,0,0
ID_EAPIEV.mgb,0,0,0,0
ID_WAZIVO.mgb,0,0,0,0
ID_FGIJSX.mgb,0,0,0,0
ID_WLRZRX.mgb,0,0,0,0
ID_QKFDBL.mgb,0,0,0,0
ID_SUTSJH.mgb,0,0,0,0
ID_MNFBKJ.mgb,0,0,0,0
ID_BAFNRW.mgb,0,0,0,0
ID_WCZJPK.mgb,0,0,0,0
ID_LJQFWN.mgb,0,0,0,0
ID_RKOHFR.mgb,0,0,0,0
ID_CURUPB.mgb,0,0,0,0
ID_HLDEDL.mgb,0,0,0,0
ID_QHHFWC.mgb,0,0,0,0
ID_KWOISI.mgb,0,0,0,0
ID_DZYFXF.mgb,0,0,0,0
ID_PROOUK.mgb,0,0,0,0
ID_BZUXXM.mgb,0,0,0,0
ID_LMPJDC.mgb,0,0,0,0
ID_WFEQIT.mgb,0,0,0,0
ID_UJTQRO.mgb,0,0,0,0
ID_YVMIEX.mgb,0,0,0,0
ID_AKWSZD.mgb,0,0,0,0
ID_RWUAEX.mgb,0,0,0,0
ID_IBKNZU.mgb,0,0,0,0
ID_CKYLDD.mgb,0,0,0,0
ID_AIVFAZ.mgb,0,0,0,0
ID_OTAMKM.mgb,0,0,0,0
ID_DCMDEF.mgb,0,0,0,0
ID_UYOVRS.mgb,0,0,0,0
ID_WPGKPU.mgb,0,0,0,0
ID_ODOOCR.mgb,0,0,0,0
